id,price,category,rate,rate count
1,109.95,men's clothing,3.9,120
2,22.3,men's clothing,4.1,259
3,55.99,men's clothing,4.7,500
4,15.99,men's clothing,2.1,430
5,695.0,jewelery,4.6,400
6,168.0,jewelery,3.9,70
7,9.99,jewelery,3.0,400
8,10.99,jewelery,1.9,100
9,64.0,electronics,3.3,203
10,109.0,electronics,2.9,470
11,109.0,electronics,4.8,319
12,114.0,electronics,4.8,400
13,599.0,electronics,2.9,250
14,999.99,electronics,2.2,140
15,56.99,women's clothing,2.6,235
16,29.95,women's clothing,2.9,340
17,39.99,women's clothing,3.8,679
18,9.85,women's clothing,4.7,130
19,7.95,women's clothing,4.5,146
20,12.99,women's clothing,3.6,145
